                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3442,                 2.5528,                 1.2447,                0.02539,                0.01625,                0.01448,                0.00443,                 2.3676,                  13045,                    3.6,                 0.0706,              0.0032667,              0.0032667
                      2,                 1.3704,                 1.9466,                 1.2514,                0.02539,                0.01625,                0.01448,                0.00443,                 4.7637,                  62140,                 24.933,               0.040273,              0.0062733,              0.0062733
                      3,                 1.3884,                 1.7935,                 1.2317,                0.84241,                 0.0975,                0.08634,                0.04381,                 1.9564,                 25.925,                 1.6847,              0.0096166,              0.0089499,              0.0089499
                      4,                 1.2117,                 1.5696,                 1.1254,                0.94397,                0.18875,                0.17735,                0.11631,                 1.3641,                 9.2837,                  1.449,               0.008515,               0.008515,               0.008515
                      5,                 1.2131,                 1.5778,                 1.1448,                0.95619,                0.19415,                0.21216,                0.14556,                 1.2583,                 10.125,                  1.379,               0.008515,               0.008515,               0.008515
                      6,                 1.1385,                 1.4143,                 1.0944,                0.94229,                0.18744,                0.21558,                0.14615,                 1.1252,                 3.9855,                 1.2397,                0.00802,                0.00802,                0.00802
                      7,                 1.1061,                 1.4331,                 1.0827,                 0.8999,                0.19625,                0.18437,                0.12766,                 1.0575,                 4.0704,                 1.1716,               0.007525,               0.007525,               0.007525
                      8,                 1.0487,                 1.4149,                 1.0694,                0.69175,                 0.4525,                0.27701,                0.20565,                 1.1463,                 1.5605,                 1.2198,                0.00703,                0.00703,                0.00703
                      9,                 1.0192,                 1.3687,                 1.0529,                0.25972,                0.58002,                0.28902,                0.21549,                 1.1005,                 1.5108,                 1.2193,               0.006535,               0.006535,               0.006535
                     10,                 1.1091,                 1.3509,                  1.085,                0.24183,                0.53006,                0.30337,                0.22934,                 1.2149,                 1.6409,                 1.2988,                0.00604,                0.00604,                0.00604
                     11,                 1.0475,                 1.2588,                 1.1209,                0.44212,                0.49292,                0.51884,                0.39796,                 1.1512,                 1.3787,                 1.2571,               0.005545,               0.005545,               0.005545
                     12,                 1.0001,                 1.1469,                 1.0961,                0.39103,                0.43327,                0.46171,                 0.3528,                 1.0527,                 1.7856,                 1.1835,                0.00505,                0.00505,                0.00505
                     13,                0.91784,                 1.1412,                 1.0391,                0.44553,                0.77885,                0.46897,                 0.3467,                 1.1188,                 1.4773,                 1.2174,               0.004555,               0.004555,               0.004555
                     14,                0.99277,                 1.0601,                 1.1052,                0.94546,                0.43625,                0.48281,                0.37093,                 1.1911,                 1.3317,                 1.2627,                0.00406,                0.00406,                0.00406
                     15,                0.96666,                 1.0966,                 1.0615,                0.95772,                   0.45,                0.53794,                0.42577,                 1.0728,                 1.6522,                 1.1722,               0.003565,               0.003565,               0.003565
                     16,                0.86287,                 1.0046,                 1.0279,                0.33393,                0.69583,                0.40729,                0.32319,                  1.048,                 1.1706,                 1.1756,                0.00307,                0.00307,                0.00307
                     17,                0.84913,                0.97871,                 1.0136,                0.30211,                0.83405,                0.46867,                0.37772,                 1.0853,                 1.4768,                 1.2327,               0.002575,               0.002575,               0.002575
                     18,                0.83056,                0.89038,                  1.026,                0.94309,                0.42202,                0.47625,                 0.3767,                 1.0662,                  1.091,                 1.2169,                0.00208,                0.00208,                0.00208
                     19,                0.78922,                0.83671,                0.99618,                 0.6604,                0.81083,                0.78139,                0.64879,                 1.0428,                0.95094,                  1.197,               0.001585,               0.001585,               0.001585
                     20,                0.77571,                0.76208,                0.96826,                0.71949,                0.79804,                0.80615,                0.67667,                 1.0125,                0.94139,                 1.1935,                0.00109,                0.00109,                0.00109
